Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
704000,+276,+185,-126,+191626,0,0,0,0,0,999.0,999.0,1405621521.216999,2014/07/17,18:25:21,0.216999
704001,+156,+183,-132,+190686,0,0,0,0,0,999.0,999.0,1405621521.224679,2014/07/17,18:25:21,0.224679
704002,+190,+189,-128,+191933,0,0,0,0,0,999.0,999.0,1405621521.232359,2014/07/17,18:25:21,0.232359
704003,+136,+180,-129,+190577,0,0,0,0,0,999.0,999.0,1405621521.240039,2014/07/17,18:25:21,0.240039
704004,+224,+189,-129,+191933,0,0,0,0,0,999.0,999.0,1405621521.247719,2014/07/17,18:25:21,0.247719
704005,+160,+182,-124,+190693,0,0,0,0,0,999.0,999.0,1405621521.255399,2014/07/17,18:25:21,0.255399
704006,+213,+187,-128,+191765,0,0,0,0,0,999.0,999.0,1405621521.263079,2014/07/17,18:25:21,0.263079
704007,+154,+182,-125,+190992,0,0,0,0,0,999.0,999.0,1405621521.270759,2014/07/17,18:25:21,0.270759
704008,+204,+185,-129,+191524,0,0,0,0,0,999.0,999.0,1405621521.278439,2014/07/17,18:25:21,0.278439
704009,+202,+190,-128,+191217,0,0,0,0,0,999.0,999.0,1405621521.286119,2014/07/17,18:25:21,0.286119
704010,+194,+186,-131,+191213,0,0,0,0,0,999.0,999.0,1405621521.293799,2014/07/17,18:25:21,0.293799
704011,+159,+184,-127,+191336,0,0,0,0,0,999.0,999.0,1405621521.301479,2014/07/17,18:25:21,0.301479
704012,+129,+188,-130,+190900,0,0,0,0,0,999.0,999.0,1405621521.309159,2014/07/17,18:25:21,0.309159
704013,+191,+183,-126,+191667,0,0,0,0,0,999.0,999.0,1405621521.316839,2014/07/17,18:25:21,0.316839
704014,+156,+184,-129,+190682,0,0,0,0,0,999.0,999.0,1405621521.324519,2014/07/17,18:25:21,0.324519
704015,+241,+183,-130,+191930,0,0,0,0,0,999.0,999.0,1405621521.332199,2014/07/17,18:25:21,0.332199
704016,+192,+182,-126,+190588,0,0,0,0,0,999.0,999.0,1405621521.339879,2014/07/17,18:25:21,0.339879
704017,+334,+185,-131,+191927,0,0,0,0,0,999.0,999.0,1405621521.347559,2014/07/17,18:25:21,0.347559
704018,+305,+186,-126,+190713,0,0,0,0,0,999.0,999.0,1405621521.355239,2014/07/17,18:25:21,0.355239
704019,+401,+185,-128,+191748,0,0,0,0,0,999.0,999.0,1405621521.362919,2014/07/17,18:25:21,0.362919
704020,+349,+180,-127,+191019,0,0,0,0,0,999.0,999.0,1405621521.370599,2014/07/17,18:25:21,0.370599
704021,+363,+184,-129,+191494,0,0,0,0,0,999.0,999.0,1405621521.378279,2014/07/17,18:25:21,0.378279
704022,+293,+186,-124,+191230,0,0,0,0,0,999.0,999.0,1405621521.385959,2014/07/17,18:25:21,0.385959
704023,+251,+178,-134,+191192,0,0,0,0,0,999.0,999.0,1405621521.393639,2014/07/17,18:25:21,0.393639
704024,+195,+187,-123,+191368,0,0,0,0,0,999.0,999.0,1405621521.401319,2014/07/17,18:25:21,0.401319
704025,+74,+175,-133,+190860,0,0,0,0,0,999.0,999.0,1405621521.408999,2014/07/17,18:25:21,0.408999
704026,+115,+190,-127,+191703,0,0,0,0,0,999.0,999.0,1405621521.416679,2014/07/17,18:25:21,0.416679
704027,+99,+184,-130,+190651,0,0,0,0,0,999.0,999.0,1405621521.424359,2014/07/17,18:25:21,0.424359
704028,+225,+189,-126,+191924,0,0,0,0,0,999.0,999.0,1405621521.432039,2014/07/17,18:25:21,0.432039
704029,+193,+185,-128,+190571,0,0,0,0,0,999.0,999.0,1405621521.439719,2014/07/17,18:25:21,0.439719
704030,+301,+187,-127,+191908,0,0,0,0,0,999.0,999.0,1405621521.447399,2014/07/17,18:25:21,0.447399
704031,+254,+182,-130,+190748,0,0,0,0,0,999.0,999.0,1405621521.455079,2014/07/17,18:25:21,0.455079
704032,+318,+183,-129,+191749,0,0,0,0,0,999.0,999.0,1405621521.462759,2014/07/17,18:25:21,0.462759
704033,+236,+179,-127,+191032,0,0,0,0,0,999.0,999.0,1405621521.470439,2014/07/17,18:25:21,0.470439
704034,+222,+187,-130,+191482,0,0,0,0,0,999.0,999.0,1405621521.478119,2014/07/17,18:25:21,0.478119
704035,+168,+185,-132,+191243,0,0,0,0,0,999.0,999.0,1405621521.485799,2014/07/17,18:25:21,0.485799
704036,+161,+186,-132,+191179,0,0,0,0,0,999.0,999.0,1405621521.493479,2014/07/17,18:25:21,0.493479
704037,+211,+187,-126,+191402,0,0,0,0,0,999.0,999.0,1405621521.501159,2014/07/17,18:25:21,0.501159
704038,+187,+184,-126,+190845,0,0,0,0,0,999.0,999.0,1405621521.508839,2014/07/17,18:25:21,0.508839
704039,+231,+188,-128,+191734,0,0,0,0,0,999.0,999.0,1405621521.516519,2014/07/17,18:25:21,0.516519
704040,+150,+183,-124,+190652,0,0,0,0,0,999.0,999.0,1405621521.524199,2014/07/17,18:25:21,0.524199
704041,+261,+186,-129,+191952,0,0,0,0,0,999.0,999.0,1405621521.531879,2014/07/17,18:25:21,0.531879
