Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
211200,+277,-1111588,-393572,-234230,0,0,0,0,0,999.0,999.0,1406723689.427000,2014/07/30,12:34:49,0.427000
211201,+277,-885595,-414597,-266595,0,0,0,0,0,999.0,999.0,1406723689.434680,2014/07/30,12:34:49,0.434680
211202,+274,-643904,-425588,-296276,0,0,0,0,0,999.0,999.0,1406723689.442360,2014/07/30,12:34:49,0.442360
211203,+277,-386842,-428366,-328444,0,0,0,0,0,999.0,999.0,1406723689.450040,2014/07/30,12:34:49,0.450040
211204,+278,-121696,-422353,-357993,0,0,0,0,0,999.0,999.0,1406723689.457720,2014/07/30,12:34:49,0.457720
211205,+274,+144938,-405803,-390593,0,0,0,0,0,999.0,999.0,1406723689.465400,2014/07/30,12:34:49,0.465400
211206,+277,+405335,-384140,-422607,0,0,0,0,0,999.0,999.0,1406723689.473080,2014/07/30,12:34:49,0.473080
211207,+277,+658725,-351935,-448657,0,0,0,0,0,999.0,999.0,1406723689.480760,2014/07/30,12:34:49,0.480760
211208,+274,+897892,-312072,-477057,0,0,0,0,0,999.0,999.0,1406723689.488440,2014/07/30,12:34:49,0.488440
211209,+280,+1115751,-268728,-498477,0,0,0,0,0,999.0,999.0,1406723689.496120,2014/07/30,12:34:49,0.496120
211210,+276,+1312837,-216451,-519958,0,0,0,0,0,999.0,999.0,1406723689.503800,2014/07/30,12:34:49,0.503800
211211,+278,+1479555,-162825,-535419,0,0,0,0,0,999.0,999.0,1406723689.511480,2014/07/30,12:34:49,0.511480
211212,+272,+1615581,-102571,-544098,0,0,0,0,0,999.0,999.0,1406723689.519160,2014/07/30,12:34:49,0.519160
211213,+274,+1717456,-43416,-550827,0,0,0,0,0,999.0,999.0,1406723689.526840,2014/07/30,12:34:49,0.526840
211214,+274,+1784777,+19526,-552846,0,0,0,0,0,999.0,999.0,1406723689.534520,2014/07/30,12:34:49,0.534520
211215,+278,+1812114,+78749,-550617,0,0,0,0,0,999.0,999.0,1406723689.542200,2014/07/30,12:34:49,0.542200
211216,+277,+1801739,+141207,-544759,0,0,0,0,0,999.0,999.0,1406723689.549880,2014/07/30,12:34:49,0.549880
211217,+275,+1749626,+194923,-535090,0,0,0,0,0,999.0,999.0,1406723689.557560,2014/07/30,12:34:49,0.557560
211218,+275,+1662805,+249602,-520425,0,0,0,0,0,999.0,999.0,1406723689.565240,2014/07/30,12:34:49,0.565240
211219,+278,+1540342,+296303,-499061,0,0,0,0,0,999.0,999.0,1406723689.572920,2014/07/30,12:34:49,0.572920
211220,+277,+1387506,+338212,-476855,0,0,0,0,0,999.0,999.0,1406723689.580600,2014/07/30,12:34:49,0.580600
211221,+277,+1201485,+372196,-449404,0,0,0,0,0,999.0,999.0,1406723689.588280,2014/07/30,12:34:49,0.588280
211222,+275,+992105,+399806,-422855,0,0,0,0,0,999.0,999.0,1406723689.595960,2014/07/30,12:34:49,0.595960
211223,+275,+761142,+417030,-390940,0,0,0,0,0,999.0,999.0,1406723689.603640,2014/07/30,12:34:49,0.603640
211224,+281,+513315,+427861,-358765,0,0,0,0,0,999.0,999.0,1406723689.611320,2014/07/30,12:34:49,0.611320
211225,+276,+254535,+427423,-328482,0,0,0,0,0,999.0,999.0,1406723689.619000,2014/07/30,12:34:49,0.619000
211226,+277,-9198,+420477,-296617,0,0,0,0,0,999.0,999.0,1406723689.626680,2014/07/30,12:34:49,0.626680
211227,+277,-276913,+402888,-266530,0,0,0,0,0,999.0,999.0,1406723689.634360,2014/07/30,12:34:49,0.634360
211228,+275,-536980,+377023,-233714,0,0,0,0,0,999.0,999.0,1406723689.642040,2014/07/30,12:34:49,0.642040
211229,+277,-786560,+343595,-206542,0,0,0,0,0,999.0,999.0,1406723689.649720,2014/07/30,12:34:49,0.649720
211230,+279,-1018725,+302931,-179284,0,0,0,0,0,999.0,999.0,1406723689.657400,2014/07/30,12:34:49,0.657400
211231,+278,-1232653,+255211,-158382,0,0,0,0,0,999.0,999.0,1406723689.665080,2014/07/30,12:34:49,0.665080
211232,+278,-1420664,+203164,-137524,0,0,0,0,0,999.0,999.0,1406723689.672760,2014/07/30,12:34:49,0.672760
211233,+275,-1578069,+145096,-124200,0,0,0,0,0,999.0,999.0,1406723689.680440,2014/07/30,12:34:49,0.680440
211234,+276,-1703444,+85503,-116371,0,0,0,0,0,999.0,999.0,1406723689.688120,2014/07/30,12:34:49,0.688120
