Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
0,+273,+12580,-132,+2952993,0,0,0,0,0,999.0,999.0,1406722067.411000,2014/07/30,12:07:47,0.411000
1,+279,+12276,-129,+3015987,0,0,0,0,0,999.0,999.0,1406722067.418680,2014/07/30,12:07:47,0.418680
2,+276,+11949,-133,+3077291,0,0,0,0,0,999.0,999.0,1406722067.426360,2014/07/30,12:07:47,0.426360
3,+276,+11630,-140,+3136711,0,0,0,0,0,999.0,999.0,1406722067.434040,2014/07/30,12:07:47,0.434040
4,+274,+11337,-143,+3195843,0,0,0,0,0,999.0,999.0,1406722067.441720,2014/07/30,12:07:47,0.441720
5,+275,+11030,-137,+3253732,0,0,0,0,0,999.0,999.0,1406722067.449400,2014/07/30,12:07:47,0.449400
6,+277,+10681,-134,+3309006,0,0,0,0,0,999.0,999.0,1406722067.457080,2014/07/30,12:07:47,0.457080
7,+278,+10365,-131,+3362218,0,0,0,0,0,999.0,999.0,1406722067.464760,2014/07/30,12:07:47,0.464760
8,+278,+10035,-125,+3414634,0,0,0,0,0,999.0,999.0,1406722067.472440,2014/07/30,12:07:47,0.472440
9,+275,+9709,-136,+3465527,0,0,0,0,0,999.0,999.0,1406722067.480120,2014/07/30,12:07:47,0.480120
10,+278,+9365,-143,+3512893,0,0,0,0,0,999.0,999.0,1406722067.487800,2014/07/30,12:07:47,0.487800
11,+274,+9037,-141,+3558394,0,0,0,0,0,999.0,999.0,1406722067.495480,2014/07/30,12:07:47,0.495480
12,+274,+8678,-141,+3603988,0,0,0,0,0,999.0,999.0,1406722067.503160,2014/07/30,12:07:47,0.503160
13,+274,+8360,-131,+3647565,0,0,0,0,0,999.0,999.0,1406722067.510840,2014/07/30,12:07:47,0.510840
14,+277,+8008,-127,+3688323,0,0,0,0,0,999.0,999.0,1406722067.518520,2014/07/30,12:07:47,0.518520
15,+279,+7663,-135,+3728417,0,0,0,0,0,999.0,999.0,1406722067.526200,2014/07/30,12:07:47,0.526200
16,+277,+7289,-138,+3766412,0,0,0,0,0,999.0,999.0,1406722067.533880,2014/07/30,12:07:47,0.533880
17,+272,+6966,-141,+3803194,0,0,0,0,0,999.0,999.0,1406722067.541560,2014/07/30,12:07:47,0.541560
18,+279,+6621,-138,+3839425,0,0,0,0,0,999.0,999.0,1406722067.549240,2014/07/30,12:07:47,0.549240
19,+276,+6244,-131,+3870664,0,0,0,0,0,999.0,999.0,1406722067.556920,2014/07/30,12:07:47,0.556920
20,+274,+5901,-135,+3902543,0,0,0,0,0,999.0,999.0,1406722067.564600,2014/07/30,12:07:47,0.564600
21,+275,+5530,-129,+3930546,0,0,0,0,0,999.0,999.0,1406722067.572280,2014/07/30,12:07:47,0.572280
22,+273,+5199,-131,+3959367,0,0,0,0,0,999.0,999.0,1406722067.579960,2014/07/30,12:07:47,0.579960
23,+277,+4816,-140,+3982628,0,0,0,0,0,999.0,999.0,1406722067.587640,2014/07/30,12:07:47,0.587640
24,+278,+4464,-131,+4006924,0,0,0,0,0,999.0,999.0,1406722067.595320,2014/07/30,12:07:47,0.595320
25,+279,+4114,-141,+4028900,0,0,0,0,0,999.0,999.0,1406722067.603000,2014/07/30,12:07:47,0.603000
26,+274,+3747,-131,+4048339,0,0,0,0,0,999.0,999.0,1406722067.610680,2014/07/30,12:07:47,0.610680
27,+277,+3385,-128,+4066998,0,0,0,0,0,999.0,999.0,1406722067.618360,2014/07/30,12:07:47,0.618360
28,+273,+3025,-134,+4083843,0,0,0,0,0,999.0,999.0,1406722067.626040,2014/07/30,12:07:47,0.626040
29,+275,+2635,-133,+4098109,0,0,0,0,0,999.0,999.0,1406722067.633720,2014/07/30,12:07:47,0.633720
30,+280,+2290,-141,+4110081,0,0,0,0,0,999.0,999.0,1406722067.641400,2014/07/30,12:07:47,0.641400
31,+276,+1941,-143,+4120763,0,0,0,0,0,999.0,999.0,1406722067.649080,2014/07/30,12:07:47,0.649080
32,+279,+1557,-137,+4129492,0,0,0,0,0,999.0,999.0,1406722067.656760,2014/07/30,12:07:47,0.656760
33,+271,+1184,-131,+4136993,0,0,0,0,0,999.0,999.0,1406722067.664440,2014/07/30,12:07:47,0.664440
34,+279,+835,-130,+4142010,0,0,0,0,0,999.0,999.0,1406722067.672120,2014/07/30,12:07:47,0.672120
35,+276,+479,-129,+4145445,0,0,0,0,0,999.0,999.0,1406722067.679800,2014/07/30,12:07:47,0.679800
36,+277,+98,-135,+4146593,0,0,0,0,0,999.0,999.0,1406722067.687480,2014/07/30,12:07:47,0.687480
37,+278,-271,-141,+4145329,0,0,0,0,0,999.0,999.0,1406722067.695160,2014/07/30,12:07:47,0.695160
38,+272,-617,-144,+4142744,0,0,0,0,0,999.0,999.0,1406722067.702840,2014/07/30,12:07:47,0.702840
39,+274,-971,-137,+4137542,0,0,0,0,0,999.0,999.0,1406722067.710520,2014/07/30,12:07:47,0.710520
40,+278,-1353,-127,+4130910,0,0,0,0,0,999.0,999.0,1406722067.718200,2014/07/30,12:07:47,0.718200
41,+277,-1689,-128,+4121304,0,0,0,0,0,999.0,999.0,1406722067.725880,2014/07/30,12:07:47,0.725880
42,+276,-2086,-131,+4111142,0,0,0,0,0,999.0,999.0,1406722067.733560,2014/07/30,12:07:47,0.733560
43,+279,-2422,-135,+4099066,0,0,0,0,0,999.0,999.0,1406722067.741240,2014/07/30,12:07:47,0.741240
44,+272,-2782,-141,+4085254,0,0,0,0,0,999.0,999.0,1406722067.748920,2014/07/30,12:07:47,0.748920
45,+275,-3141,-140,+4068614,0,0,0,0,0,999.0,999.0,1406722067.756600,2014/07/30,12:07:47,0.756600
46,+279,-3512,-134,+4050171,0,0,0,0,0,999.0,999.0,1406722067.764280,2014/07/30,12:07:47,0.764280
47,+277,-3853,-126,+4030555,0,0,0,0,0,999.0,999.0,1406722067.771960,2014/07/30,12:07:47,0.771960
48,+276,-4197,-134,+4008904,0,0,0,0,0,999.0,999.0,1406722067.779640,2014/07/30,12:07:47,0.779640
49,+277,-4583,-136,+3985271,0,0,0,0,0,999.0,999.0,1406722067.787320,2014/07/30,12:07:47,0.787320
50,+276,-4931,-141,+3961585,0,0,0,0,0,999.0,999.0,1406722067.795000,2014/07/30,12:07:47,0.795000
51,+275,-5272,-146,+3933742,0,0,0,0,0,999.0,999.0,1406722067.802680,2014/07/30,12:07:47,0.802680
52,+278,-5601,-138,+3905616,0,0,0,0,0,999.0,999.0,1406722067.810360,2014/07/30,12:07:47,0.810360
53,+277,-5967,-130,+3874247,0,0,0,0,0,999.0,999.0,1406722067.818040,2014/07/30,12:07:47,0.818040
54,+277,-6295,-129,+3844013,0,0,0,0,0,999.0,999.0,1406722067.825720,2014/07/30,12:07:47,0.825720
55,+271,-6650,-126,+3807715,0,0,0,0,0,999.0,999.0,1406722067.833400,2014/07/30,12:07:47,0.833400
56,+273,-6975,-135,+3772020,0,0,0,0,0,999.0,999.0,1406722067.841080,2014/07/30,12:07:47,0.841080
57,+277,-7322,-136,+3733910,0,0,0,0,0,999.0,999.0,1406722067.848760,2014/07/30,12:07:47,0.848760
58,+279,-7648,-138,+3694684,0,0,0,0,0,999.0,999.0,1406722067.856440,2014/07/30,12:07:47,0.856440
59,+276,-8000,-139,+3655170,0,0,0,0,0,999.0,999.0,1406722067.864120,2014/07/30,12:07:47,0.864120
60,+276,-8311,-129,+3611556,0,0,0,0,0,999.0,999.0,1406722067.871800,2014/07/30,12:07:47,0.871800
61,+273,-8617,-132,+3567265,0,0,0,0,0,999.0,999.0,1406722067.879480,2014/07/30,12:07:47,0.879480
62,+277,-8961,-133,+3522601,0,0,0,0,0,999.0,999.0,1406722067.887160,2014/07/30,12:07:47,0.887160
63,+275,-9292,-138,+3476053,0,0,0,0,0,999.0,999.0,1406722067.894840,2014/07/30,12:07:47,0.894840
64,+279,-9598,-145,+3426842,0,0,0,0,0,999.0,999.0,1406722067.902520,2014/07/30,12:07:47,0.902520
65,+276,-9890,-140,+3375276,0,0,0,0,0,999.0,999.0,1406722067.910200,2014/07/30,12:07:47,0.910200
66,+275,-10224,-135,+3323300,0,0,0,0,0,999.0,999.0,1406722067.917880,2014/07/30,12:07:47,0.917880
67,+272,-10509,-137,+3269906,0,0,0,0,0,999.0,999.0,1406722067.925560,2014/07/30,12:07:47,0.925560
68,+272,-10815,-126,+3213321,0,0,0,0,0,999.0,999.0,1406722067.933240,2014/07/30,12:07:47,0.933240
69,+275,-11104,-134,+3155900,0,0,0,0,0,999.0,999.0,1406722067.940920,2014/07/30,12:07:47,0.940920
70,+280,-11403,-140,+3097172,0,0,0,0,0,999.0,999.0,1406722067.948600,2014/07/30,12:07:47,0.948600
71,+278,-11676,-140,+3037771,0,0,0,0,0,999.0,999.0,1406722067.956280,2014/07/30,12:07:47,0.956280
72,+277,-11971,-139,+2976810,0,0,0,0,0,999.0,999.0,1406722067.963960,2014/07/30,12:07:47,0.963960
73,+273,-12236,-133,+2914514,0,0,0,0,0,999.0,999.0,1406722067.971640,2014/07/30,12:07:47,0.971640
74,+275,-12488,-127,+2851782,0,0,0,0,0,999.0,999.0,1406722067.979320,2014/07/30,12:07:47,0.979320
75,+275,-12768,-128,+2787638,0,0,0,0,0,999.0,999.0,1406722067.987000,2014/07/30,12:07:47,0.987000
76,+275,-13043,-135,+2722726,0,0,0,0,0,999.0,999.0,1406722067.994680,2014/07/30,12:07:47,0.994680
