Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
25600,+274,+320,+6507,+4199350,0,0,0,0,0,999.0,999.0,1406722264.019000,2014/07/30,12:11:04,0.019000
25601,+281,+275,+4530,+4200067,0,0,0,0,0,999.0,999.0,1406722264.026680,2014/07/30,12:11:04,0.026680
25602,+277,+266,+2795,+4200287,0,0,0,0,0,999.0,999.0,1406722264.034360,2014/07/30,12:11:04,0.034360
25603,+271,+256,+1323,+4200524,0,0,0,0,0,999.0,999.0,1406722264.042040,2014/07/30,12:11:04,0.042040
25604,+272,+263,+3032,+4200121,0,0,0,0,0,999.0,999.0,1406722264.049720,2014/07/30,12:11:04,0.049720
25605,+275,+220,+86,+4200386,0,0,0,0,0,999.0,999.0,1406722264.057400,2014/07/30,12:11:04,0.057400
25606,+273,+236,+476,+4201583,0,0,0,0,0,999.0,999.0,1406722264.065080,2014/07/30,12:11:04,0.065080
25607,+279,+92,-9825,+4200489,0,0,0,0,0,999.0,999.0,1406722264.072760,2014/07/30,12:11:04,0.072760
25608,+277,-85,-20116,+4199891,0,0,0,0,0,999.0,999.0,1406722264.080440,2014/07/30,12:11:04,0.080440
25609,+272,-200,-28103,+4198408,0,0,0,0,0,999.0,999.0,1406722264.088120,2014/07/30,12:11:04,0.088120
25610,+277,-129,-22727,+4196469,0,0,0,0,0,999.0,999.0,1406722264.095800,2014/07/30,12:11:04,0.095800
25611,+274,+68,-11523,+4194349,0,0,0,0,0,999.0,999.0,1406722264.103480,2014/07/30,12:11:04,0.103480
25612,+274,+241,+330,+4193864,0,0,0,0,0,999.0,999.0,1406722264.111160,2014/07/30,12:11:04,0.111160
25613,+277,+296,+4380,+4194074,0,0,0,0,0,999.0,999.0,1406722264.118840,2014/07/30,12:11:04,0.118840
25614,+276,+275,+4463,+4194008,0,0,0,0,0,999.0,999.0,1406722264.126520,2014/07/30,12:11:04,0.126520
25615,+274,+264,+2684,+4194600,0,0,0,0,0,999.0,999.0,1406722264.134200,2014/07/30,12:11:04,0.134200
25616,+274,+235,-1174,+4195058,0,0,0,0,0,999.0,999.0,1406722264.141880,2014/07/30,12:11:04,0.141880
25617,+274,-45,-18330,+4194260,0,0,0,0,0,999.0,999.0,1406722264.149560,2014/07/30,12:11:04,0.149560
25618,+279,-386,-41603,+4192886,0,0,0,0,0,999.0,999.0,1406722264.157240,2014/07/30,12:11:04,0.157240
25619,+273,-730,-64594,+4189375,0,0,0,0,0,999.0,999.0,1406722264.164920,2014/07/30,12:11:04,0.164920
25620,+276,-884,-74409,+4184185,0,0,0,0,0,999.0,999.0,1406722264.172600,2014/07/30,12:11:04,0.172600
25621,+278,-647,-57633,+4177703,0,0,0,0,0,999.0,999.0,1406722264.180280,2014/07/30,12:11:04,0.180280
25622,+279,+7,-15401,+4173066,0,0,0,0,0,999.0,999.0,1406722264.187960,2014/07/30,12:11:04,0.187960
25623,+276,+566,+22036,+4172400,0,0,0,0,0,999.0,999.0,1406722264.195640,2014/07/30,12:11:04,0.195640
25624,+272,+923,+44833,+4174811,0,0,0,0,0,999.0,999.0,1406722264.203320,2014/07/30,12:11:04,0.203320
25625,+275,+902,+46072,+4178840,0,0,0,0,0,999.0,999.0,1406722264.211000,2014/07/30,12:11:04,0.211000
25626,+274,+818,+40384,+4183313,0,0,0,0,0,999.0,999.0,1406722264.218680,2014/07/30,12:11:04,0.218680
25627,+276,+760,+37913,+4186168,0,0,0,0,0,999.0,999.0,1406722264.226360,2014/07/30,12:11:04,0.226360
25628,+274,+732,+34816,+4189237,0,0,0,0,0,999.0,999.0,1406722264.234040,2014/07/30,12:11:04,0.234040
25629,+279,+675,+29979,+4191964,0,0,0,0,0,999.0,999.0,1406722264.241720,2014/07/30,12:11:04,0.241720
25630,+276,+540,+21631,+4195069,0,0,0,0,0,999.0,999.0,1406722264.249400,2014/07/30,12:11:04,0.249400
25631,+275,+433,+14960,+4195574,0,0,0,0,0,999.0,999.0,1406722264.257080,2014/07/30,12:11:04,0.257080
25632,+273,+372,+10758,+4196166,0,0,0,0,0,999.0,999.0,1406722264.264760,2014/07/30,12:11:04,0.264760
25633,+273,+341,+7557,+4197533,0,0,0,0,0,999.0,999.0,1406722264.272440,2014/07/30,12:11:04,0.272440
25634,+274,+355,+8536,+4198610,0,0,0,0,0,999.0,999.0,1406722264.280120,2014/07/30,12:11:04,0.280120
25635,+278,+169,-4531,+4198168,0,0,0,0,0,999.0,999.0,1406722264.287800,2014/07/30,12:11:04,0.287800
