Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
211200,+254,+220,-129,+4338,0,0,0,0,0,999.0,999.0,1405617736.513000,2014/07/17,17:22:16,0.513000
211201,+428,+161,-126,+4641,0,0,0,0,0,999.0,999.0,1405617736.520680,2014/07/17,17:22:16,0.520680
211202,+290,+203,-129,+4028,0,0,0,0,0,999.0,999.0,1405617736.528360,2014/07/17,17:22:16,0.528360
211203,+464,+176,-129,+4997,0,0,0,0,0,999.0,999.0,1405617736.536040,2014/07/17,17:22:16,0.536040
211204,+265,+182,-127,+3802,0,0,0,0,0,999.0,999.0,1405617736.543720,2014/07/17,17:22:16,0.543720
211205,+345,+185,-128,+5187,0,0,0,0,0,999.0,999.0,1405617736.551400,2014/07/17,17:22:16,0.551400
211206,+269,+184,-126,+3799,0,0,0,0,0,999.0,999.0,1405617736.559080,2014/07/17,17:22:16,0.559080
211207,+198,+182,-127,+5085,0,0,0,0,0,999.0,999.0,1405617736.566760,2014/07/17,17:22:16,0.566760
211208,+315,+179,-126,+4030,0,0,0,0,0,999.0,999.0,1405617736.574440,2014/07/17,17:22:16,0.574440
211209,+201,+196,-126,+4900,0,0,0,0,0,999.0,999.0,1405617736.582120,2014/07/17,17:22:16,0.582120
211210,+332,+168,-129,+4326,0,0,0,0,0,999.0,999.0,1405617736.589800,2014/07/17,17:22:16,0.589800
211211,+219,+218,-124,+4472,0,0,0,0,0,999.0,999.0,1405617736.597480,2014/07/17,17:22:16,0.597480
211212,+259,+157,-126,+4460,0,0,0,0,0,999.0,999.0,1405617736.605160,2014/07/17,17:22:16,0.605160
211213,+225,+219,-127,+4295,0,0,0,0,0,999.0,999.0,1405617736.612840,2014/07/17,17:22:16,0.612840
211214,+383,+164,-123,+4699,0,0,0,0,0,999.0,999.0,1405617736.620520,2014/07/17,17:22:16,0.620520
