Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
313600,+279,-453094,+32774,+540808,0,0,0,0,0,999.0,999.0,1406728245.931000,2014/07/30,13:50:45,0.931000
313601,+278,-402244,+24063,+544506,0,0,0,0,0,999.0,999.0,1406728245.938680,2014/07/30,13:50:45,0.938680
313602,+275,-352507,+15994,+546272,0,0,0,0,0,999.0,999.0,1406728245.946360,2014/07/30,13:50:45,0.946360
313603,+277,-301579,+7648,+547639,0,0,0,0,0,999.0,999.0,1406728245.954040,2014/07/30,13:50:45,0.954040
313604,+278,-248162,-684,+548655,0,0,0,0,0,999.0,999.0,1406728245.961720,2014/07/30,13:50:45,0.961720
313605,+278,-195954,-8843,+548009,0,0,0,0,0,999.0,999.0,1406728245.969400,2014/07/30,13:50:45,0.969400
313606,+277,-143833,-17330,+547455,0,0,0,0,0,999.0,999.0,1406728245.977080,2014/07/30,13:50:45,0.977080
313607,+277,-90293,-25503,+545518,0,0,0,0,0,999.0,999.0,1406728245.984760,2014/07/30,13:50:45,0.984760
313608,+274,-38466,-33774,+542401,0,0,0,0,0,999.0,999.0,1406728245.992440,2014/07/30,13:50:45,0.992440
313609,+277,+15733,-42042,+539646,0,0,0,0,0,999.0,999.0,1406728246.000120,2014/07/30,13:50:46,0.000120
313610,+279,+71136,-50254,+535898,0,0,0,0,0,999.0,999.0,1406728246.007800,2014/07/30,13:50:46,0.007800
313611,+279,+124963,-58108,+533288,0,0,0,0,0,999.0,999.0,1406728246.015480,2014/07/30,13:50:46,0.015480
313612,+280,+177881,-66239,+529991,0,0,0,0,0,999.0,999.0,1406728246.023160,2014/07/30,13:50:46,0.023160
313613,+279,+231168,-73857,+524318,0,0,0,0,0,999.0,999.0,1406728246.030840,2014/07/30,13:50:46,0.030840
313614,+280,+283622,-81557,+518127,0,0,0,0,0,999.0,999.0,1406728246.038520,2014/07/30,13:50:46,0.038520
313615,+279,+335092,-88914,+511147,0,0,0,0,0,999.0,999.0,1406728246.046200,2014/07/30,13:50:46,0.046200
313616,+274,+387710,-96203,+503920,0,0,0,0,0,999.0,999.0,1406728246.053880,2014/07/30,13:50:46,0.053880
313617,+276,+439106,-103607,+493847,0,0,0,0,0,999.0,999.0,1406728246.061560,2014/07/30,13:50:46,0.061560
313618,+282,+487981,-110224,+482017,0,0,0,0,0,999.0,999.0,1406728246.069240,2014/07/30,13:50:46,0.069240
313619,+280,+537599,-117040,+471834,0,0,0,0,0,999.0,999.0,1406728246.076920,2014/07/30,13:50:46,0.076920
313620,+279,+585170,-123507,+462332,0,0,0,0,0,999.0,999.0,1406728246.084600,2014/07/30,13:50:46,0.084600
313621,+277,+630250,-129755,+453576,0,0,0,0,0,999.0,999.0,1406728246.092280,2014/07/30,13:50:46,0.092280
