Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
499200,+277,+102,-150,+190059,0,0,0,0,0,999.0,999.0,1406729671.339000,2014/07/30,14:14:31,0.339000
499201,+279,+103,-195,+190054,0,0,0,0,0,999.0,999.0,1406729671.346680,2014/07/30,14:14:31,0.346680
499202,+276,+105,-141,+189798,0,0,0,0,0,999.0,999.0,1406729671.354360,2014/07/30,14:14:31,0.354360
499203,+277,+94,-103,+190331,0,0,0,0,0,999.0,999.0,1406729671.362040,2014/07/30,14:14:31,0.362040
499204,+276,+108,-125,+189843,0,0,0,0,0,999.0,999.0,1406729671.369720,2014/07/30,14:14:31,0.369720
499205,+278,+104,-88,+189910,0,0,0,0,0,999.0,999.0,1406729671.377400,2014/07/30,14:14:31,0.377400
499206,+277,+105,-266,+190094,0,0,0,0,0,999.0,999.0,1406729671.385080,2014/07/30,14:14:31,0.385080
499207,+277,+106,+2,+189693,0,0,0,0,0,999.0,999.0,1406729671.392760,2014/07/30,14:14:31,0.392760
499208,+278,+101,-347,+190284,0,0,0,0,0,999.0,999.0,1406729671.400440,2014/07/30,14:14:31,0.400440
499209,+277,+107,-136,+190167,0,0,0,0,0,999.0,999.0,1406729671.408120,2014/07/30,14:14:31,0.408120
499210,+278,+104,-178,+189872,0,0,0,0,0,999.0,999.0,1406729671.415800,2014/07/30,14:14:31,0.415800
499211,+275,+99,-45,+190166,0,0,0,0,0,999.0,999.0,1406729671.423480,2014/07/30,14:14:31,0.423480
499212,+279,+112,-2,+189649,0,0,0,0,0,999.0,999.0,1406729671.431160,2014/07/30,14:14:31,0.431160
499213,+276,+103,-176,+190044,0,0,0,0,0,999.0,999.0,1406729671.438840,2014/07/30,14:14:31,0.438840
499214,+274,+102,+41,+190221,0,0,0,0,0,999.0,999.0,1406729671.446520,2014/07/30,14:14:31,0.446520
499215,+278,+107,-240,+189920,0,0,0,0,0,999.0,999.0,1406729671.454200,2014/07/30,14:14:31,0.454200
499216,+276,+97,-156,+190293,0,0,0,0,0,999.0,999.0,1406729671.461880,2014/07/30,14:14:31,0.461880
499217,+275,+107,-267,+189803,0,0,0,0,0,999.0,999.0,1406729671.469560,2014/07/30,14:14:31,0.469560
499218,+278,+106,-156,+189893,0,0,0,0,0,999.0,999.0,1406729671.477240,2014/07/30,14:14:31,0.477240
499219,+277,+103,-222,+190097,0,0,0,0,0,999.0,999.0,1406729671.484920,2014/07/30,14:14:31,0.484920
499220,+274,+103,-123,+189918,0,0,0,0,0,999.0,999.0,1406729671.492600,2014/07/30,14:14:31,0.492600
499221,+278,+97,-156,+190204,0,0,0,0,0,999.0,999.0,1406729671.500280,2014/07/30,14:14:31,0.500280
499222,+276,+107,-121,+189976,0,0,0,0,0,999.0,999.0,1406729671.507960,2014/07/30,14:14:31,0.507960
499223,+275,+102,-84,+189853,0,0,0,0,0,999.0,999.0,1406729671.515640,2014/07/30,14:14:31,0.515640
499224,+276,+100,-280,+190185,0,0,0,0,0,999.0,999.0,1406729671.523320,2014/07/30,14:14:31,0.523320
499225,+279,+104,-267,+189661,0,0,0,0,0,999.0,999.0,1406729671.531000,2014/07/30,14:14:31,0.531000
499226,+278,+104,-349,+190218,0,0,0,0,0,999.0,999.0,1406729671.538680,2014/07/30,14:14:31,0.538680
499227,+276,+101,-264,+190056,0,0,0,0,0,999.0,999.0,1406729671.546360,2014/07/30,14:14:31,0.546360
499228,+278,+110,-230,+189772,0,0,0,0,0,999.0,999.0,1406729671.554040,2014/07/30,14:14:31,0.554040
499229,+277,+97,-154,+190260,0,0,0,0,0,999.0,999.0,1406729671.561720,2014/07/30,14:14:31,0.561720
499230,+276,+105,-245,+189856,0,0,0,0,0,999.0,999.0,1406729671.569400,2014/07/30,14:14:31,0.569400
499231,+276,+100,-234,+189881,0,0,0,0,0,999.0,999.0,1406729671.577080,2014/07/30,14:14:31,0.577080
499232,+279,+103,-395,+190096,0,0,0,0,0,999.0,999.0,1406729671.584760,2014/07/30,14:14:31,0.584760
499233,+277,+105,-277,+189673,0,0,0,0,0,999.0,999.0,1406729671.592440,2014/07/30,14:14:31,0.592440
499234,+278,+99,-315,+190174,0,0,0,0,0,999.0,999.0,1406729671.600120,2014/07/30,14:14:31,0.600120
499235,+280,+104,-288,+190001,0,0,0,0,0,999.0,999.0,1406729671.607800,2014/07/30,14:14:31,0.607800
499236,+280,+102,-24,+189859,0,0,0,0,0,999.0,999.0,1406729671.615480,2014/07/30,14:14:31,0.615480
499237,+280,+96,-246,+190195,0,0,0,0,0,999.0,999.0,1406729671.623160,2014/07/30,14:14:31,0.623160
499238,+280,+103,-147,+189681,0,0,0,0,0,999.0,999.0,1406729671.630840,2014/07/30,14:14:31,0.630840
