Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
505600,+277,+104,-460,+194108,0,0,0,0,0,999.0,999.0,1406729720.491000,2014/07/30,14:15:20,0.491000
505601,+281,+108,-520,+194018,0,0,0,0,0,999.0,999.0,1406729720.498680,2014/07/30,14:15:20,0.498680
505602,+276,+107,-370,+193263,0,0,0,0,0,999.0,999.0,1406729720.506360,2014/07/30,14:15:20,0.506360
505603,+281,+106,-421,+193652,0,0,0,0,0,999.0,999.0,1406729720.514040,2014/07/30,14:15:20,0.514040
505604,+275,+109,-381,+194212,0,0,0,0,0,999.0,999.0,1406729720.521720,2014/07/30,14:15:20,0.521720
505605,+277,+110,-447,+193988,0,0,0,0,0,999.0,999.0,1406729720.529400,2014/07/30,14:15:20,0.529400
505606,+282,+103,-259,+194392,0,0,0,0,0,999.0,999.0,1406729720.537080,2014/07/30,14:15:20,0.537080
505607,+273,+113,-372,+193579,0,0,0,0,0,999.0,999.0,1406729720.544760,2014/07/30,14:15:20,0.544760
505608,+278,+107,-352,+193508,0,0,0,0,0,999.0,999.0,1406729720.552440,2014/07/30,14:15:20,0.552440
505609,+278,+105,-387,+193666,0,0,0,0,0,999.0,999.0,1406729720.560120,2014/07/30,14:15:20,0.560120
505610,+279,+109,-468,+193757,0,0,0,0,0,999.0,999.0,1406729720.567800,2014/07/30,14:15:20,0.567800
505611,+277,+101,-121,+194358,0,0,0,0,0,999.0,999.0,1406729720.575480,2014/07/30,14:15:20,0.575480
505612,+277,+111,-192,+194110,0,0,0,0,0,999.0,999.0,1406729720.583160,2014/07/30,14:15:20,0.583160
505613,+278,+103,-88,+193518,0,0,0,0,0,999.0,999.0,1406729720.590840,2014/07/30,14:15:20,0.590840
505614,+278,+106,-293,+193766,0,0,0,0,0,999.0,999.0,1406729720.598520,2014/07/30,14:15:20,0.598520
505615,+279,+110,-191,+193267,0,0,0,0,0,999.0,999.0,1406729720.606200,2014/07/30,14:15:20,0.606200
505616,+279,+108,-233,+194101,0,0,0,0,0,999.0,999.0,1406729720.613880,2014/07/30,14:15:20,0.613880
505617,+280,+105,-130,+194197,0,0,0,0,0,999.0,999.0,1406729720.621560,2014/07/30,14:15:20,0.621560
